GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
MiProyectoSwing,Presentacion.gui,IntentoDiseño.8.new WindowAdapter() {...},12,0,0,0,3,0,2,0,2,0
MiProyectoSwing,Presentacion.gui,IntentoDiseño.new ActionListener() {...},41,0,0,0,10,0,2,0,2,0
MiProyectoSwing,Presentacion.gui,IntentoDiseño.new ActionListener() {...},41,0,0,0,10,0,2,0,2,0
MiProyectoSwing,Presentacion.gui,IntentoDiseño.new ActionListener() {...},41,0,0,0,10,0,2,0,2,0
MiProyectoSwing,Presentacion.gui,IntentoDiseño.new ActionListener() {...},41,0,0,0,10,0,2,0,2,0
MiProyectoSwing,Presentacion.gui,IntentoDiseño.new ActionListener() {...},41,0,0,0,10,0,2,0,2,0
MiProyectoSwing,Presentacion.gui,IntentoDiseño.new ActionListener() {...},41,0,0,0,10,0,2,0,2,0
MiProyectoSwing,Presentacion.gui,IntentoDiseño,140,0,0,0,20,0,2,0,2,0
MiProyectoSwing,Presentacion.gui,IntentoDiseño.14.new WindowAdapter() {...},12,0,0,0,3,0,2,0,2,0
MiProyectoSwing,Presentacion.gui,IntentoDiseño.10.new WindowAdapter() {...},12,0,0,0,3,0,2,0,2,0
MiProyectoSwing,Presentacion.gui,IntentoDiseño.3.new WindowAdapter() {...},12,0,0,0,3,0,2,0,2,0
MiProyectoSwing,Presentacion.gui,IntentoDiseño.new ActionListener() {...},41,0,0,0,10,0,2,0,2,0
MiProyectoSwing,Presentacion.gui,IntentoDiseño.new ActionListener() {...},41,0,0,0,10,0,2,0,2,0
MiProyectoSwing,Presentacion.gui,IntentoDiseño.7.new WindowAdapter() {...},12,0,0,0,3,0,2,0,2,0
MiProyectoSwing,Presentacion.gui,IntentoDiseño.new ActionListener() {...},41,0,0,0,10,0,2,0,2,0
MiProyectoSwing,DataTypes,DtCliente,53,51,0,0,20,15,12,5,12,5
MiProyectoSwing,DataTypes,DtCiudad,66,12,0,0,28,5,14,2,14,2
MiProyectoSwing,DataTypes,DtAerolinea,18,57,0,0,5,21,5,5,5,5
MiProyectoSwing,DataTypes,DtVuelo,9,57,0,0,1,20,1,10,1,10
MiProyectoSwing,DataTypes,DtUsuario,56,21,0,0,19,8,12,2,12,2
MiProyectoSwing,DataTypes,DtReserva,56,42,2,0,14,15,6,6,5,6
MiProyectoSwing,DataTypes,DtPasajero,32,0,0,0,13,0,7,0,7,0
MiProyectoSwing,DataTypes,DtCategoria,10,9,0,0,5,4,3,2,3,2
MiProyectoSwing,DataTypes,DtPaquete,89,130,8,8,31,33,22,3,15,2
MiProyectoSwing,DataTypes,DtRutaVuelo,85,66,0,0,27,23,11,7,11,7
MiProyectoSwing,DataTypes,DtItemPaquete,27,15,0,0,11,6,7,2,7,2
